fio,birthdate,group,gpa
Liam Moore,2004-01-17,Group 2,3.6
Peter Clark,2003-12-25,Group 4,2.54
Alice Robinson,2002-04-17,Group 2,2.05
Alice Garcia,2004-07-03,Group 4,2.81
Heidi Moore,2005-11-07,Group 3,3.05
Olivia Garcia,2005-12-07,Group 5,2.31
Mia Wilson,2003-04-21,Group 5,3.29
Judy Thompson,2004-12-30,Group 4,3.32
Olivia Harris,2002-03-28,Group 5,2.25
Ivan Martinez,2007-06-06,Group 5,3.81
Olivia Brown,2005-06-26,Group 5,2.97
Heidi Miller,2004-01-31,Group 4,3.72
Charlie Thompson,2006-04-04,Group 4,2.9
Noah Thomas,2002-03-30,Group 5,3.31
Kevin Smith,2005-07-05,Group 2,2.12
Charlie Moore,2007-04-23,Group 5,3.72
Frank Williams,2003-09-12,Group 2,3.07
Frank Thomas,2005-06-24,Group 1,3.15
Quinn Moore,2001-07-05,Group 2,2.3
Bob Jones,2007-07-26,Group 1,3.71
Heidi Martin,2004-08-29,Group 1,3.23
Frank Jackson,2007-02-10,Group 3,2.78
Noah Harris,2007-10-10,Group 5,2.82
Kevin Taylor,2001-11-21,Group 5,2.37
Olivia Robinson,2001-06-21,Group 4,3.5
Heidi Smith,2007-04-27,Group 1,2.87
Kevin Moore,2007-11-21,Group 5,2.99
Olivia Miller,2003-08-01,Group 3,2.43
Noah Garcia,2007-10-04,Group 5,3.69
Kevin Wilson,2006-01-26,Group 3,3.78
Ivan Jones,2003-06-18,Group 1,2.11
Sam Thompson,2006-06-27,Group 5,2.65
Quinn Taylor,2006-06-28,Group 5,3.29
Liam Taylor,2001-09-27,Group 2,3.88
Rachel Jackson,2001-07-10,Group 2,2.16
Noah Clark,2006-08-09,Group 2,2.66
Grace Anderson,2004-02-19,Group 5,3.32
Olivia Robinson,2004-10-25,Group 1,3.21
Olivia Garcia,2003-05-03,Group 4,2.59
Sam Robinson,2006-08-13,Group 4,2.95
Judy Martin,2001-06-02,Group 5,2.99
Judy Martin,2002-04-26,Group 3,2.31
Peter Miller,2007-11-28,Group 1,2.67
Noah Moore,2004-03-05,Group 3,3.32
Peter Robinson,2004-03-30,Group 5,3.94
Frank Wilson,2006-05-09,Group 1,2.57
Peter Thomas,2002-11-24,Group 2,3.62
Rachel Moore,2001-03-21,Group 2,3.03
Alice Garcia,2002-02-24,Group 3,2.09
Bob Jackson,2002-12-04,Group 2,3.72
Liam Clark,2001-12-08,Group 3,2.4
Grace Harris,2002-03-15,Group 4,2.06
Judy Taylor,2002-12-27,Group 4,2.8
Diana Thompson,2001-01-09,Group 2,3.68
Sam Smith,2007-04-23,Group 5,3.26
Judy Martinez,1900-11-23,1,4.0
Alice Martinez,2003-05-16,Group 1,3.13
Liam Robinson,2002-07-23,Group 1,2.61
Quinn Martinez,2004-03-08,Group 4,2.62
